Year,Month,State,Generation
2013,May,IN,728.68406
2013,Jun,IN,656.49242
2013,Jul,IN,998.1229
2013,Aug,IN,1027.40782
2013,Sep,IN,614.21701
2013,Oct,IN,772.24855
2013,Nov,IN,731.29608
2013,Dec,IN,720.15204
2013,Jan,KS,57.12705
2013,Feb,KS,130.81857
2013,Mar,KS,163.72979
2013,Apr,KS,120.01475
2013,May,KS,195.51148
2013,Jun,KS,271.62237
2013,Jul,KS,264.90384
2013,Aug,KS,240.22457
2013,Sep,KS,226.12302
2013,Oct,KS,125.0466
2013,Nov,KS,84.51878
2013,Dec,KS,100.53771
2013,Jan,KY,112.72397
2013,Feb,KY,82.09296
2013,Mar,KY,205.60944
2013,Apr,KY,142.9518
2013,May,KY,167.06819
2013,Jun,KY,87.3304
2013,Jul,KY,266.99612
2013,Aug,KY,111.79912
2013,Sep,KY,64.12694
2013,Oct,KY,68.47398
2013,Nov,KY,55.35931
2013,Dec,KY,53.81391
2013,Jan,LA,4286.02424
2013,Feb,LA,3336.35435
2013,Mar,LA,3729.12454
2013,Apr,LA,4126.24716
2013,May,LA,3987.48032
2013,Jun,LA,4851.80974
2013,Jul,LA,5268.66014
2013,Aug,LA,5290.99066
2013,Sep,LA,4507.3152
2013,Oct,LA,3999.34948
2013,Nov,LA,4276.15794
2013,Dec,LA,4850.66107
2013,Jan,MA,1397.16557
2013,Feb,MA,879.9604
2013,Mar,MA,1219.60983
2013,Apr,MA,1905.12222
2013,May,MA,2151.71028
2013,Jun,MA,1878.27345
2013,Jul,MA,3033.40869
2013,Aug,MA,2690.64967
2013,Sep,MA,1964.55967
2013,Oct,MA,1960.14078
2013,Nov,MA,1289.06901
2013,Dec,MA,887.21755
2013,Jan,MD,38.2993
2013,Feb,MD,104.44747
2013,Mar,MD,98.63011
2013,Apr,MD,284.02702
2013,May,MD,378.44482
2013,Jun,MD,291.16629
2013,Jul,MD,578.17698
2013,Aug,MD,205.39918
2013,Sep,MD,334.99294
2013,Oct,MD,253.06081
2013,Nov,MD,64.62897
2013,Dec,MD,256.31533
2013,Jan,ME,515.41786
2013,Feb,ME,332.43889
2013,Mar,ME,420.49946
2013,Apr,ME,351.43148
2013,May,ME,342.69006
2013,Jun,ME,406.49744
2013,Jul,ME,469.57558
2013,Aug,ME,387.21095
2013,Sep,ME,361.61346
2013,Oct,ME,364.82622
2013,Nov,ME,402.75961
2013,Dec,ME,518.42716
2013,Jan,MI,784.54488
2013,Feb,MI,676.22476
2013,Mar,MI,1102.30847
2013,Apr,MI,1137.24744
2013,May,MI,1397.5608
2013,Jun,MI,1002.98702
2013,Jul,MI,1472.37226
2013,Aug,MI,1296.86205
2013,Sep,MI,777.29548
2013,Oct,MI,864.29519
2013,Nov,MI,839.75835
2013,Dec,MI,989.93523
2013,Jan,MN,534.88385
2013,Feb,MN,391.58217
2013,Mar,MN,584.00373
2013,Apr,MN,587.11416
2013,May,MN,442.02192
2013,Jun,MN,360.72827
2013,Jul,MN,735.16385
2013,Aug,MN,678.73017
2013,Sep,MN,572.62927
