Year,Month,State,Generation
2013,Apr,IN,7024.05792
2013,May,IN,7050.86025
2013,Jun,IN,7647.38142
2013,Jul,IN,9111.7217
2013,Aug,IN,8184.28597
2013,Sep,IN,7576.34261
2013,Oct,IN,7362.87873
2013,Nov,IN,7356.2444
2013,Dec,IN,8663.08867
2013,Jan,KS,2585.62393
2013,Feb,KS,2663.93974
2013,Mar,KS,2255.15731
2013,Apr,KS,2146.81244
2013,May,KS,2216.29629
2013,Jun,KS,2399.50616
2013,Jul,KS,3038.04718
2013,Aug,KS,2979.47808
2013,Sep,KS,2652.97199
2013,Oct,KS,2146.3685
2013,Nov,KS,2121.05597
2013,Dec,KS,2562.00448
2013,Jan,KY,7662.56532
2013,Feb,KY,7152.59511
2013,Mar,KY,7940.58929
2013,Apr,KY,5637.3428
2013,May,KY,6033.10351
2013,Jun,KY,6852.13844
2013,Jul,KY,7113.16838
2013,Aug,KY,7712.97052
2013,Sep,KY,6899.10914
2013,Oct,KY,6491.23851
2013,Nov,KY,6174.23502
2013,Dec,KY,7634.20443
2013,Jan,LA,1860.25605
2013,Feb,LA,1696.21227
2013,Mar,LA,1903.43347
2013,Apr,LA,1228.25389
2013,May,LA,1735.95835
2013,Jun,LA,1994.13529
2013,Jul,LA,1957.16957
2013,Aug,LA,2046.2518
2013,Sep,LA,2167.12124
2013,Oct,LA,1219.64268
2013,Nov,LA,1333.44901
2013,Dec,LA,1701.8289
2013,Jan,MA,630.42361
2013,Feb,MA,459.0562
2013,Mar,MA,528.26522
2013,Apr,MA,249.89814
2013,May,MA,44.98153
2013,Jun,MA,184.70362
2013,Jul,MA,578.20595
2013,Aug,MA,155.52926
2013,Sep,MA,95.88982
2013,Oct,MA,8.37408
2013,Nov,MA,327.33384
2013,Dec,MA,696.56801
2013,Jan,MD,1434.50988
2013,Feb,MD,1156.04921
2013,Mar,MD,1390.82687
2013,Apr,MD,660.93806
2013,May,MD,854.27331
2013,Jun,MD,1595.83942
2013,Jul,MD,1865.3183
2013,Aug,MD,1386.4427
2013,Sep,MD,1174.34216
2013,Oct,MD,1288.83071
2013,Nov,MD,1348.03089
2013,Dec,MD,1383.06753
2013,Jan,ME,10.18632
2013,Feb,ME,10.46338
2013,Mar,ME,6.06537
2013,Apr,ME,4.32727
2013,May,ME,2.73578
2013,Jun,ME,3.51633
2013,Jul,ME,2.33268
2013,Aug,ME,3.12576
2013,Sep,ME,2.83279
2013,Oct,ME,3.05369
2013,Nov,ME,4.74419
2013,Dec,ME,9.36821
2013,Jan,MI,4884.818
2013,Feb,MI,4747.55415
2013,Mar,MI,4335.88458
2013,Apr,MI,3698.34139
2013,May,MI,4204.00136
2013,Jun,MI,4865.53478
2013,Jul,MI,5312.45909
2013,Aug,MI,5322.74861
2013,Sep,MI,4725.84567
2013,Oct,MI,4540.51822
2013,Nov,MI,4635.50351
2013,Dec,MI,5018.24347
2013,Jan,MN,2321.14528
2013,Feb,MN,1956.47047
2013,Mar,MN,1914.31473
2013,Apr,MN,1529.74215
2013,May,MN,1500.72594
2013,Jun,MN,1678.46549
2013,Jul,MN,2187.1846
2013,Aug,MN,2243.98973
2013,Sep,MN,1754.46194
2013,Oct,MN,2006.01397
2013,Nov,MN,1922.1907
2013,Dec,MN,2503.09324
2013,Jan,MO,6703.50186
2013,Feb,MO,5835.32087
2013,Mar,MO,6323.2757
2013,Apr,MO,5881.89655
2013,May,MO,5955.52015
2013,Jun,MO,6498.6231
2013,Jul,MO,7433.73628
2013,Aug,MO,7174.40848
2013,Sep,MO,5948.35612
2013,Oct,MO,5850.82288
2013,Nov,MO,5992.57679
2013,Dec,MO,6506.77889
2013,Jan,MS,463.05893
2013,Feb,MS,587.3452
2013,Mar,MS,663.60855
2013,Apr,MS,816.15754
2013,May,MS,410.83262
2013,Jun,MS,1056.32304
2013,Jul,MS,1057.91462
2013,Aug,MS,989.70776
2013,Sep,MS,751.30655
2013,Oct,MS,572.0193
2013,Nov,MS,590.7686
2013,Dec,MS,742.25238
2013,Jan,MT,1677.46598
2013,Feb,MT,1533.014
2013,Mar,MT,1660.55535
2013,Apr,MT,1403.84211
2013,May,MT,964.65595
2013,Jun,MT,889.15897
2013,Jul,MT,1092.99682
2013,Aug,MT,1155.58203
2013,Sep,MT,1141.25457
2013,Oct,MT,1127.03077
2013,Nov,MT,1074.17807
2013,Dec,MT,1160.56088
2013,Jan,NC,3897.47873
2013,Feb,NC,3876.28258
2013,Mar,NC,4236.81799
2013,Apr,NC,2816.65281
2013,May,NC,3162.54769
2013,Jun,NC,4626.57637
2013,Jul,NC,4974.02768
2013,Aug,NC,4672.59503
2013,Sep,NC,3735.60694
2013,Oct,NC,3477.6336
2013,Nov,NC,4213.35294
2013,Dec,NC,3382.63724
2013,Jan,ND,2281.54616
2013,Feb,ND,2373.82442
2013,Mar,ND,2656.08225
2013,Apr,ND,1963.00861
2013,May,ND,2002.12566
2013,Jun,ND,2163.08641
2013,Jul,ND,2623.4418
2013,Aug,ND,2654.01569
2013,Sep,ND,1927.1476
2013,Oct,ND,2188.59823
2013,Nov,ND,2172.78085
2013,Dec,ND,2472.16464
2013,Jan,NE,2432.21626
2013,Feb,NE,2159.68576
2013,Mar,NE,2248.1884
2013,Apr,NE,1634.53888
2013,May,NE,1752.36682
2013,Jun,NE,2195.98444
2013,Jul,NE,2575.08379
2013,Aug,NE,2562.3984
2013,Sep,NE,2270.48729
2013,Oct,NE,2267.69179
2013,Nov,NE,2203.78616
2013,Dec,NE,2464.67321
2013,Jan,NH,305.63657
2013,Feb,NH,312.89616
2013,Mar,NH,250.64825
2013,Apr,NH,10.17447
2013,May,NH,14.93841
2013,Jun,NH,65.60641
2013,Jul,NH,171.40864
2013,Aug,NH,30.51739
2013,Sep,NH,13.70058
2013,Oct,NH,0.31995
2013,Nov,NH,31.08734
2013,Dec,NH,256.59709
2013,Jan,NJ,199.52523
2013,Feb,NJ,204.38996
2013,Mar,NJ,221.81969
2013,Apr,NJ,97.40734
2013,May,NJ,147.32313
2013,Jun,NJ,174.73529
2013,Jul,NJ,263.05157
2013,Aug,NJ,164.11009
2013,Sep,NJ,132.58
2013,Oct,NJ,122.49095
2013,Nov,NJ,125.98678
2013,Dec,NJ,168.19835
2013,Jan,NM,2386.96241
2013,Feb,NM,1989.7324
2013,Mar,NM,2168.84877
2013,Apr,NM,1594.59829
2013,May,NM,1900.37437
2013,Jun,NM,2134.17862
2013,Jul,NM,2205.13104
2013,Aug,NM,2080.52136
2013,Sep,NM,1906.41537
2013,Oct,NM,2000.00478
2013,Nov,NM,2132.49394
2013,Dec,NM,1646.00957
2013,Jan,NV,456.17377
2013,Feb,NV,359.8119
2013,Mar,NV,393.42453
2013,Apr,NV,386.85143
2013,May,NV,364.51895
