Year,State,Plant Code,Aggregated Fuel Group,Generation,Emission
2013,AZ,124,GAS,7038000.0,5859.5355
2013,AZ,126,COAL,318511722.0,374630.956
2013,AZ,126,GAS,350414278.0,248247.09
2013,AZ,141,GAS,76352814.0,60790.275
2013,AZ,147,GAS,542769129.0,243199.125
2013,AZ,160,COAL,2245344411.0,2595825.4329
2013,AZ,160,GAS,82448589.0,55346.85
2013,AZ,4941,COAL,17119674964.0,17837543.7964
2013,AZ,6088,GAS,3987000.0,4340.2905
2013,AZ,6177,COAL,5772152150.0,6568088.6061
2013,AZ,6515,GAS,22526032.0,17359.1145
2013,AZ,8068,GAS,2859686000.0,1305605.2815
2013,AZ,8223,COAL,11434525745.0,12579019.8786
2013,AZ,54594,GAS,50710.0,44.1675
2013,AZ,54694,GAS,191953000.0,102443.913
2013,AZ,55124,GAS,2110812000.0,904132.008
2013,AZ,55129,GAS,889387000.0,386382.02849999996
2013,AZ,55177,GAS,1934275000.0,903683.196
2013,AZ,55282,GAS,1332356000.0,583185.1545000001
2013,AZ,55306,GAS,4119938000.0,1790300.5965
2013,AZ,55372,GAS,1654489000.0,695302.101
2013,AZ,55455,GAS,3773396000.0,1643974.722
2013,AZ,55481,GAS,4343025000.0,1807710.5475
2013,AZ,55522,GAS,131589000.0,79233.921
2013,AZ,56229,GAS,57545000.0,38457.1395
2013,AZ,56482,GAS,51906000.0,29761.4655
2013,AZ,56616,GAS,1062957.0,999.4725
2013,AZ,56948,GAS,234212160.0,140108.436
2013,AZ,58199,GAS,46996500.0,47390.616
2013,AZ,58557,GAS,578375000.0,254280.897
2013,AZ,59233,GAS,33301000.0,25612.6455
2013,AZ,59338,GAS,2091586000.0,936272.61
2013,CA,151,GAS,1468604.0,1658.4165
2013,CA,228,GAS,26324000.0,21882.4515
2013,CA,246,GAS,354213623.0,186184.7325
2013,CA,259,GAS,85819000.0,51988.8915
2013,CA,260,GAS,5044610000.0,2193590.0609999998
2013,CA,271,GAS,116829000.0,92237.1255
2013,CA,301,GAS,695000.0,786.4155
2013,CA,302,GAS,483815000.0,366319.16099999996
2013,CA,303,GAS,16118000.0,14770.9575
2013,CA,305,GAS,2560000.0,2559.726
2013,CA,315,GAS,1528931000.0,968684.301
2013,CA,329,GAS,265571000.0,177015.618
2013,CA,330,GAS,498698000.0,353848.482
2013,CA,331,GAS,257256000.0,206677.0485
2013,CA,335,GAS,851663000.0,536246.685
2013,CA,341,GAS,24435000.0,23111.829
2013,CA,345,GAS,218065000.0,153189.62099999998
2013,CA,350,GAS,573943000.0,358718.4315
2013,CA,356,GAS,299638000.0,216079.1685
2013,CA,358,GAS,5518342000.0,2376326.5695
2013,CA,377,GAS,91724093.0,70163.379
2013,CA,389,GAS,1186126000.0,599318.811
2013,CA,399,GAS,129460000.0,89841.843
2013,CA,400,GAS,3642018000.0,1730923.4475
2013,CA,404,GAS,1084888045.0,745825.5675
2013,CA,408,GAS,926921000.0,407378.96550000005
2013,CA,420,GAS,44901000.0,29596.437
2013,CA,422,GAS,53597000.0,36411.453
2013,CA,535,GAS,3251000.0,2491.6905
2013,CA,4256,GAS,-110000.0,469.404
2013,CA,6060,GAS,1022812.0,992.6865
